# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Season,Episode,Start time in milliseconds,End time in milliseconds,Character,Quote
1,2,1344468,1350807,Jang Uk,Stay right by my side. No one here will let that thing attack me.
1,2,1632130,1635262,Jang Uk,I see. How evil. 
1,2,1662452,1668956,Jang Uk,"By the way, you have the habit of glaring at others. Keep doing that, and you will get caught."
1,2,1704702,1707162,Mu-deok / Naksu,Anyone who came that close to me died in my hands.
1,2,1821694,1824784,Jang Uk,But what kind of an heirloom is this fragile?
1,2,2014637,2020852,Mu-deok / Naksu,Then open his gate of energy for him. He desperately wants it. You are his friends. 
1,2,2035491,2038621,Mu-deok / Naksu,Then he is already being punished for his entire lifetime.
1,2,2133673,2142852,Mu-deok / Naksu,The people I have met so far only wanted me dead. You are the first person who tried to save me.
1,2,2149188,2153991,Mu-deok / Naksu,"Even if we meet again and come this close to each other, I will spare you."
1,2,3847802,3854641,Mu-deok / Naksu,I am betting everything on you. So I hope you will survive. 
1,2,3895349,3923289,Mu-deok / Naksu,"He ingested poison. His heart will stop in six hours. It will be too late by the time you find out and concoct an antidote. There is only one way to save him. Open his gate of energy. Or else, he will die. "
1,2,4142346,4164405,Jang Uk,Mu-deok. Both of us could have died. You are… You are really crazy. 
1,2,4167580,4172213,Mu-deok / Naksu,"So you survived, my pupil. "
1,2,4178507,4191769,Jang Uk,That is right. I almost died thanks to you. My crazy master.
"1","3","93301","95471","Jang Gang","Believe what you wish to believe."
"1","3","112028","119412","Park Jin","See? He is your son. A son you are willing to protect even at the risk of your own life."
"1","3","119994","121754","Jang Gang","I am merely trying to keep him safe."
"1","3","151025","155953","Jang Gang","Not only does his birth make no sense, but it never should have happened either. "
"1","3","207707","308428","Jang Uk","She did not poison me. I poisoned myself. Please help. Mu-deok risked her life to do what I asked."
"1","3","630129","636643","Seo Yul","She risked her life for him even though they only just met. It is strange."
"1","3","655946","665253","Seo Yul","She easily deceives people. She did not speak even though she was tortured. "
"1","3","665790","667460","Park Dang-Gu","There is more to her than meets the eye."
"1","3","792041","796343","Mu-deok / Naksu","The people of Songrim are too nice. If this is how they torture people… "
"1","3","832164","835964","Jang Uk","I am the only person who is safe enough to come this close to you."
"1","3","867074","879415","Jang Uk","All my life, no one ever seemed to know how desperate I was. No one has ever risked their lives for me like you did. "
"1","3","909450","912750","Jang Uk","People think I got kicked out every time, but I was the one who left."
"1","3","955037","981055","Mu-deok / Naksu","The moment I get my energy back and become Naksu again, we will no longer be master and pupil. Because then, you should no longer have a reason to protect me, nor should I have a reason to go easy on you. "
"1","3","1020769","1025693","Jang Uk","I, Jang Uk, your pupil, will serve and protect my master, Mu-deok, with all my heart. "
"1","3","1341048","1345010","Mu-deok / Naksu","If you master your spells, you will neither feel cold on ice nor hot walking on fire. "
"1","3","1363111","1366661","Mu-deok / Naksu","In order to become the best mage, you must go through several steps."
"1","3","1368742","1371332","Mu-deok / Naksu","First is Jipsu, the ability to gather the energy of water. Second is Ryusu, the ability to gain energy from the flow of water. Then comes Chisu, the ability to control the energy in the atmosphere. "
"1","3","1620243","1625830","Jang Uk","I did not feel motivated to do so. As you already know, I need to feel motivated in order to do something."
"1","3","1646728","1651318","Jang Uk","I am a quick learner. I will quickly master Jipsu. How long does it take?"
"1","3","1665205","1668075","Mu-deok / Naksu","He was a genius who only took a year to master Jipsu."
"1","3","1675465","1679587","Jang Uk","If he took a year, I will do it in six months. No, I will do it in three months. "
"1","3","1681096","1684016","Jang Uk","I am determined, so do not discourage me."
"1","3","1946903","1949283","Park Jin","Please do not resent me for that."
"1","3","2176799","2180929","Mu-deok / Naksu","It is normal to pick on the weak. That is how the world works."
"1","3","2707663","2728178","Maidservant Kim Do-Joo","This wine was made with spring water from a volcanic island in Southern Daeho. It is dark wine, the best wine you can find in Daeho. This is a rare delicacy."
"1","3","2833121","2843720","Jin Ho-Gyeong","You will have to take your sister's place and become the leader that guards Jinyowon for the family. Find a man who will support your cause."
"1","3","2943899","2948652","Park Dang-Gu","If he is not busy, he normally sleeps early and wakes up early too. "
"1","3","3283405","3287525","Mu-deok / Naksu","I lived a harsh life, so I learned a few moves just to keep myself safe. "
"1","3","3434848","3449447","Heo Yeom","Your mother, Do-hwa, was extremely kind-hearted. Always remember that and ignore what everyone else says."
"1","3","3712250","3717085","Jang Uk","So be careful who you fall for. Only I get to come this close."
"1","3","3719757","3722337","Mu-deok / Naksu","Fine. I will only allow it to you."
"1","3","3727849","3731055","Jang Uk","What? Why does that require effort? "
"1","3","3742947","3752709","Jang Uk","Why not? It makes no sense. Come on. Humor me. "
"1","3","4071942","4074402","Jang Gang","His existence will bring chaos. He should not attract attention or challenge anyone. We must make people think that he is nothing special. "
"1","4","357356","363238","Jang Uk","I was abandoned from the moment I was born. And this is not my first time getting kicked out. It does not faze me. "
"1","4","674090","682681","Heo Yeom","The alchemy of souls was not a type of sorcery from the start. You can only perform this once you have mastered Jipsu, Ryusu, Chisu, and ultimately, Hwansu. "
"1","4","682765","687770","Park Dang-Gu","Hwansu is the godlike power of changing water to fire and vice versa. Is it not? Humans cannot reach that level. Right? "
"1","4","1130838","1135473","Jang Uk","I want to unsheathe it and show them. Is that an act of stupidity?"
"1","4","1246036","1249826","Park Dang-Gu","I see. You are going to give him some medicine before nitpicking at him."
"1","4","1389304","1402439","Jang Uk","I am sure you expected me to grovel in humiliation. Going against you would be an act of stupidity. However, there is someone who sees it as one of vigor. So I shall try. "
"1","4","1907906","1913541","Go Won","Then what? Should I just leave? You should have stopped me before I started. "
"1","4","2416455","2420462","Jin Mu","I am the Assistant Gwanju. I would appreciate it if you showed more respect."
"1","4","2916747","2920787","Park Jin","You are intelligent and pick up things quickly."
"1","4","2999871","3006457","Park Jin","Just stay a clueless Young Master of the Jang family. "
"1","4","3101097","3107350","Mu-deok / Naksu","Did he scold you again? I thought you were used to being scolded… "
"1","4","3153692","3161741","Maidservant Kim Do-Joo","Why did you not dodge his blade? Was it because you needed another reason to kick him out?"
"1","4","3170041","3174341","Maidservant Kim Do-Joo","Breaking his heart must be more painful than getting stabbed."
"1","4","4146892","4149102","Seo Yul","You have put him in danger once again."
"1","5","203119","207252","Jin Mu","I will give you power. Will you come with me?"
"1","5","259759","264555","Mu-deok / Naksu","I do not know if I toughened up to survive or if I survived because I was tough. "
"1","5","323072","326782","Mu-deok / Naksu","This is a place so rugged and remote that even echoes cannot be heard. Hence the name, Danhyanggok."
"1","5","696779","702577","King Go Soon","A crack has formed and damaged the stability and peace that had existed between the royal family and mages. "
"1","5","1968466","1970886","Mu-deok / Naksu","A small amount of energy created immense strength."
"1","5","2840295","2842415","Jang Uk","Who are you to stop me from enjoying my peace?"
"1","5","2998370","3002791","Jang Uk & Master Lee","(Jang Uk) Once I put my mind to something, I tend to learn very fast.
(Master Lee) I like you even more now."
"1","5","3194608","3199147","Gil-Ju","She has no blue mark. Is she really not Naksu?"
"1","5","3290787","3295915","Mu-deok / Naksu","Relieve yourself of everything you have wanted to say but could not, thinking it might make you seem petty. "
"1","5","3297085","3299375","Go Won & Mu-deok","(Go Won) Are you offering to be a verbal outhouse of sorts?
(Mu-deok) Goodness, that would be too grand of a title for me."
"1","5","3423711","3427844","Jang Uk","Mu-deok is like a bird's egg. She needs to be embraced."
"1","5","3480351","3484805","Jang Uk & Master Lee","(Jang Uk) Is that level even possible for a human being to master?
(Master Lee) Of course. "
"1","5","4238567","4240607","Mu-deok / Naksu","If I ever happen to get caught by them, do not try to save me."
"1","5","4277606","4279396","Jang Uk","I wanted to do nothing, but I feel motivated to climb this tree."
"1","6","108858","119286","Seo Yul","I could not ask her why. The moment she sliced my sincerity in half, I could no longer cherish our memories together. "
"1","6","423923","429603","Jang Uk","That is the type of girl she is. She does not easily like or feel shy in front of others."
"1","6","652151","660695","Mu-deok / Naksu","I did not know my pupil was this possessive. Fine. My one and only pupil will be you who spews nonsense first thing in the morning. Happy? "
"1","6","788829","793326","Mu-deok / Naksu","No, thank you. I do not want to climb such a special tree with just anyone. "
"1","6","1310017","1315441","Jang Uk","Have I ever listened to anyone? Tell him I am doing the very opposite and being reckless. "
"1","6","1396561","1398811","Mu-deok / Naksu","I would not hesitate to stab you with a sword if that could get you back on your feet."
"1","6","2183014","2185064","Master Lee","Is he trying to run before learning to walk?"
"1","6","2837876","2845257","Jang Uk","Yes, I do. I truly want to. I will get married at all costs. Wait up. "
"1","6","4134463","4149015","Jang Uk","Yes. That is what I believed all my life. I do not want to deny it now. So… I will not sit still. Do not stop me no matter what I do."
"1","7","148231","171795","Master Lee","Eventually, that boundless power ended up causing chaos. In order to possess the unmelting ice that produced the Soul Ejector, the battle of mages turned into bloodshed, and Daeho became a living hell.  "
"1","7","1302801","1304181","Go Won","Yul is always so calm, but he can be a scatterbrain when he is startled too."
"1","7","2014345","2047875","The Mirror of Longing","That is right. I am an illusion. An illusion that reflects who you are. Humans are incapable of seeing themselves with their own eyes. The only way is to see themselves through a mirror. So the perception you have about yourself is nothing but an illusion.The same goes for how others perceive you. They only see what they want to see and create an illusion that suits them."
"1","7","2097720","2102930","Jang Uk","If there is nothing to reflect, a mirror becomes useless. "
"1","7","2768265","2770265","Park Jin","When you have a lot to protect, you sometimes have no choice but to be heartless. "
"1","7","2915537","2945275","Jang Uk","The mirror I saw inside Jinyowon told me that people only see what they wish to see. That it is an illusion. All my life, I tried so hard to prove to everyone that I was my father's son. But… you told me I was not. Though it hurt, it got rid of my illusion."
"1","8","3287283","3317515","Mu-deok / Naksu & Jang Uk","(Mu-deok / Naksu) Your master is neither strong enough to pull you up nor support you from the bottom.
(Jang Uk) You were never like that to begin with. You always pushed me to my death. But whenever you did that, I found myself on a whole new level. Keep doing that and stay by my side."
"1","8","3849053","3862822","Mu-deok / Naksu","First, do not do anything and just defend. If you make the first move with your current skills, you will die. You must only attack him when he loses his focus. "
